Format of output
key:  value  ->  retrievedValue , collisions number Collisions
Linear total number Collisions
Quadratic total number Collisions
Double hashing total number Collisions

*** Random Order Start *** 

8557 : 17114 -> 17114, collisions 4
8557 : 17114 -> 17114, collisions 2

849 : 1698 -> 1698, collisions 2
849 : 1698 -> 1698, collisions 2
849 : 1698 -> 1698, collisions 6

5816 : 11632 -> 11632, collisions 2
5816 : 11632 -> 11632, collisions 2
5816 : 11632 -> 11632, collisions 2

9263 : 18526 -> 18526, collisions 4
9263 : 18526 -> 18526, collisions 8
9263 : 18526 -> 18526, collisions 4

2901 : 5802 -> 5802, collisions 24
2901 : 5802 -> 5802, collisions 8
2901 : 5802 -> 5802, collisions 2

6053 : 12106 -> 12106, collisions 4
6053 : 12106 -> 12106, collisions 4
6053 : 12106 -> 12106, collisions 2

6020 : 12040 -> 12040, collisions 0
6020 : 12040 -> 12040, collisions 0
6020 : 12040 -> 12040, collisions 0

5946 : 11892 -> 11892, collisions 0
5946 : 11892 -> 11892, collisions 0
5946 : 11892 -> 11892, collisions 0

4419 : 8838 -> 8838, collisions 2
4419 : 8838 -> 8838, collisions 2
4419 : 8838 -> 8838, collisions 2

7941 : 15882 -> 15882, collisions 0
7941 : 15882 -> 15882, collisions 0
7941 : 15882 -> 15882, collisions 2

8587 : 17174 -> 17174, collisions 0
8587 : 17174 -> 17174, collisions 0
8587 : 17174 -> 17174, collisions 0

2325 : 4650 -> 4650, collisions 0
2325 : 4650 -> 4650, collisions 0
2325 : 4650 -> 4650, collisions 0

6891 : 13782 -> 13782, collisions 2
6891 : 13782 -> 13782, collisions 2
6891 : 13782 -> 13782, collisions 0

6856 : 13712 -> 13712, collisions 0
6856 : 13712 -> 13712, collisions 0
6856 : 13712 -> 13712, collisions 2

3437 : 6874 -> 6874, collisions 0
3437 : 6874 -> 6874, collisions 0
3437 : 6874 -> 6874, collisions 0

3520 : 7040 -> 7040, collisions 0
3520 : 7040 -> 7040, collisions 0
3520 : 7040 -> 7040, collisions 0

1606 : 3212 -> 3212, collisions 0
1606 : 3212 -> 3212, collisions 0
1606 : 3212 -> 3212, collisions 0

537 : 1074 -> 1074, collisions 8
537 : 1074 -> 1074, collisions 4
537 : 1074 -> 1074, collisions 6

5279 : 10558 -> 10558, collisions 0
5279 : 10558 -> 10558, collisions 0
5279 : 10558 -> 10558, collisions 0

2618 : 5236 -> 5236, collisions 4
2618 : 5236 -> 5236, collisions 0
2618 : 5236 -> 5236, collisions 0

4671 : 9342 -> 9342, collisions 2
4671 : 9342 -> 9342, collisions 2
4671 : 9342 -> 9342, collisions 4

2883 : 5766 -> 5766, collisions 8
2883 : 5766 -> 5766, collisions 6
2883 : 5766 -> 5766, collisions 4

990 : 1980 -> 1980, collisions 0
990 : 1980 -> 1980, collisions 0
990 : 1980 -> 1980, collisions 0

880 : 1760 -> 1760, collisions 2
880 : 1760 -> 1760, collisions 2
880 : 1760 -> 1760, collisions 4

9353 : 18706 -> 18706, collisions 2
9353 : 18706 -> 18706, collisions 2
9353 : 18706 -> 18706, collisions 0

9081 : 18162 -> 18162, collisions 0
9081 : 18162 -> 18162, collisions 0
9081 : 18162 -> 18162, collisions 0

6210 : 12420 -> 12420, collisions 8
6210 : 12420 -> 12420, collisions 4
6210 : 12420 -> 12420, collisions 2

8387 : 16774 -> 16774, collisions 0
8387 : 16774 -> 16774, collisions 0
8387 : 16774 -> 16774, collisions 0

5926 : 11852 -> 11852, collisions 4
5926 : 11852 -> 11852, collisions 6
5926 : 11852 -> 11852, collisions 4

2728 : 5456 -> 5456, collisions 0
2728 : 5456 -> 5456, collisions 0
2728 : 5456 -> 5456, collisions 0

242 : 484 -> 484, collisions 10
242 : 484 -> 484, collisions 0
242 : 484 -> 484, collisions 2

6432 : 12864 -> 12864, collisions 0
6432 : 12864 -> 12864, collisions 0
6432 : 12864 -> 12864, collisions 0

9946 : 19892 -> 19892, collisions 2
9946 : 19892 -> 19892, collisions 2
9946 : 19892 -> 19892, collisions 4

8238 : 16476 -> 16476, collisions 2
8238 : 16476 -> 16476, collisions 0
8238 : 16476 -> 16476, collisions 2

2407 : 4814 -> 4814, collisions 0
2407 : 4814 -> 4814, collisions 0
2407 : 4814 -> 4814, collisions 0

3676 : 7352 -> 7352, collisions 8
3676 : 7352 -> 7352, collisions 6
3676 : 7352 -> 7352, collisions 6

9579 : 19158 -> 19158, collisions 8
9579 : 19158 -> 19158, collisions 4
9579 : 19158 -> 19158, collisions 2

5352 : 10704 -> 10704, collisions 4
5352 : 10704 -> 10704, collisions 4
5352 : 10704 -> 10704, collisions 0

3578 : 7156 -> 7156, collisions 2
3578 : 7156 -> 7156, collisions 2
3578 : 7156 -> 7156, collisions 0

8534 : 17068 -> 17068, collisions 4
8534 : 17068 -> 17068, collisions 4
8534 : 17068 -> 17068, collisions 6

489 : 978 -> 978, collisions 0
489 : 978 -> 978, collisions 2
489 : 978 -> 978, collisions 0

4062 : 8124 -> 8124, collisions 8
4062 : 8124 -> 8124, collisions 2
4062 : 8124 -> 8124, collisions 2

618 : 1236 -> 1236, collisions 2
618 : 1236 -> 1236, collisions 2
618 : 1236 -> 1236, collisions 0

5638 : 11276 -> 11276, collisions 0
5638 : 11276 -> 11276, collisions 0
5638 : 11276 -> 11276, collisions 0

8294 : 16588 -> 16588, collisions 6
8294 : 16588 -> 16588, collisions 6
8294 : 16588 -> 16588, collisions 2

9398 : 18796 -> 18796, collisions 2
9398 : 18796 -> 18796, collisions 2
9398 : 18796 -> 18796, collisions 2

192 : 384 -> 384, collisions 0
192 : 384 -> 384, collisions 0
192 : 384 -> 384, collisions 0

5798 : 11596 -> 11596, collisions 30
5798 : 11596 -> 11596, collisions 10
5798 : 11596 -> 11596, collisions 6

9743 : 19486 -> 19486, collisions 2
9743 : 19486 -> 19486, collisions 6
9743 : 19486 -> 19486, collisions 2

9260 : 18520 -> 18520, collisions 0
9260 : 18520 -> 18520, collisions 0
9260 : 18520 -> 18520, collisions 0

1555 : 3110 -> 3110, collisions 16
1555 : 3110 -> 3110, collisions 8
1555 : 3110 -> 3110, collisions 0

7430 : 14860 -> 14860, collisions 0
7430 : 14860 -> 14860, collisions 0
7430 : 14860 -> 14860, collisions 0

3924 : 7848 -> 7848, collisions 2
3924 : 7848 -> 7848, collisions 4
3924 : 7848 -> 7848, collisions 6

2714 : 5428 -> 5428, collisions 0
2714 : 5428 -> 5428, collisions 0
2714 : 5428 -> 5428, collisions 0

1647 : 3294 -> 3294, collisions 0
1647 : 3294 -> 3294, collisions 0
1647 : 3294 -> 3294, collisions 0

7553 : 15106 -> 15106, collisions 14
7553 : 15106 -> 15106, collisions 6
7553 : 15106 -> 15106, collisions 6

6323 : 12646 -> 12646, collisions 18
6323 : 12646 -> 12646, collisions 6
6323 : 12646 -> 12646, collisions 4

945 : 1890 -> 1890, collisions 16
945 : 1890 -> 1890, collisions 8
945 : 1890 -> 1890, collisions 2

1292 : 2584 -> 2584, collisions 4
